row_id,jaccard_0,bert_score_0,rouge_1s_0,rouge_2s_0,rouge_ls_0,num_token_0,num_mask_0,num_med_ents_0,jaccard_1,bert_score_1,rouge_1s_1,rouge_2s_1,rouge_ls_1,num_token_1,num_mask_1,num_med_ents_1,jaccard_2,bert_score_2,rouge_1s_2,rouge_2s_2,rouge_ls_2,num_token_2,num_mask_2,num_med_ents_2,jaccard_3,bert_score_3,rouge_1s_3,rouge_2s_3,rouge_ls_3,num_token_3,num_mask_3,num_med_ents_3,jaccard_4,bert_score_4,rouge_1s_4,rouge_2s_4,rouge_ls_4,num_token_4,num_mask_4,num_med_ents_4
122185,0.1875,0.8663939237594604,0.3194444444444444,0.09174311926605505,0.2638888888888889,216,0,32,0.2692307692307692,0.8905264735221863,0.410958904109589,0.13333333333333333,0.3561643835616438,166,0,16,0.1935483870967742,0.886239230632782,0.35443037974683544,0.10714285714285714,0.31645569620253167,188,2,28,0.13513513513513514,0.8729427456855774,0.31868131868131866,0.09243697478991597,0.2857142857142857,206,4,26,0.08823529411764706,0.854923665523529,0.2602739726027397,0.0625,0.2328767123287671,156,5,21
15207,0.07407407407407407,0.8485681414604187,0.25925925925925924,0.08974358974358974,0.2222222222222222,257,0,44,0.16666666666666666,0.8495328426361084,0.23214285714285715,0.06896551724137931,0.17857142857142858,257,0,32,0.13157894736842105,0.8480598330497742,0.24242424242424243,0.07947019867549669,0.2222222222222222,231,4,33,0.2608695652173913,0.8530430197715759,0.25862068965517243,0.10227272727272728,0.22413793103448276,257,0,31,0.25,0.849428653717041,0.2236842105263158,0.06956521739130435,0.18421052631578946,190,12,26
90858,0.10810810810810811,0.8479527235031128,0.3275862068965517,0.08860759493670886,0.27586206896551724,129,0,19,0.10810810810810811,0.8479527235031128,0.3275862068965517,0.08860759493670886,0.27586206896551724,129,0,19,0.11764705882352941,0.8438042998313904,0.35714285714285715,0.1206896551724138,0.2857142857142857,104,0,16,0.1111111111111111,0.8432430624961853,0.3076923076923077,0.08450704225352113,0.2692307692307692,114,0,19,0.125,0.8549522161483765,0.423728813559322,0.1794871794871795,0.3898305084745763,119,1,11
24187,0.11764705882352941,0.847446858882904,0.48148148148148145,0.1917808219178082,0.46296296296296297,144,0,13,0.11764705882352941,0.847446858882904,0.48148148148148145,0.1917808219178082,0.46296296296296297,144,0,13,0.2619047619047619,0.872109055519104,0.4215686274509804,0.1858974358974359,0.39215686274509803,244,0,35,0.2564102564102564,0.8581162095069885,0.48484848484848486,0.19101123595505617,0.4393939393939394,124,0,23,0.3055555555555556,0.8633320331573486,0.5357142857142857,0.2540983606557377,0.5119047619047619,201,4,22
28041,0.2727272727272727,0.8291089534759521,0.4461538461538462,0.18681318681318682,0.4307692307692308,153,0,19,0.3888888888888889,0.847406804561615,0.5230769230769231,0.23863636363636365,0.5076923076923077,124,0,13,0.3684210526315789,0.8437049984931946,0.559322033898305,0.3055555555555556,0.5423728813559322,110,2,13,0.18518518518518517,0.8295775651931763,0.30612244897959184,0.12857142857142856,0.30612244897959184,195,3,21,0.08333333333333333,0.8258010149002075,0.3010752688172043,0.11678832116788321,0.3010752688172043,192,5,17
66450,0.25925925925925924,0.8703345060348511,0.2923076923076923,0.16161616161616163,0.27692307692307694,257,0,35,0.16129032258064516,0.8603887557983398,0.21794871794871795,0.05263157894736842,0.19230769230769232,230,1,22,0.14705882352941177,0.840202271938324,0.17204301075268819,0.02857142857142857,0.16129032258064516,256,7,34,0.1,0.850167453289032,0.20253164556962025,0.04201680672268908,0.20253164556962025,198,2,24,0.06896551724137931,0.8380613923072815,0.19047619047619047,0.05343511450381679,0.19047619047619047,257,22,34
121389,0.12903225806451613,0.8458006978034973,0.29545454545454547,0.09375,0.29545454545454547,107,0,16,0.17142857142857143,0.843530535697937,0.34146341463414637,0.09433962264150944,0.34146341463414637,86,0,17,0.20689655172413793,0.8472362756729126,0.27941176470588236,0.11538461538461539,0.27941176470588236,145,4,16,0.12,0.8302263617515564,0.425,0.21428571428571427,0.425,150,12,14,0.04,0.8400222659111023,0.3283582089552239,0.09259259259259259,0.31343283582089554,200,17,17
50320,0.22857142857142856,0.8502579927444458,0.2698412698412698,0.11235955056179775,0.25396825396825395,148,0,17,0.21052631578947367,0.8285280466079712,0.2077922077922078,0.02830188679245283,0.2077922077922078,173,2,19,0.15,0.8216838836669922,0.20224719101123595,0.032520325203252036,0.19101123595505617,191,6,21,0.15384615384615385,0.8282450437545776,0.25,0.06481481481481481,0.25,170,6,22,0.02857142857142857,0.8166003823280334,0.2,0.052083333333333336,0.2,170,11,16
46681,0.4166666666666667,0.9193617105484009,0.618421052631579,0.3904761904761905,0.5789473684210527,160,0,24,0.36363636363636365,0.8849319815635681,0.4722222222222222,0.3047619047619048,0.4444444444444444,153,2,19,0.15789473684210525,0.9076662063598633,0.35714285714285715,0.1773049645390071,0.32653061224489793,244,2,38,0.28,0.8944728374481201,0.37373737373737376,0.18471337579617833,0.3434343434343434,257,0,25,0.16666666666666666,0.8771403431892395,0.5714285714285714,0.36,0.5306122448979592,128,9,13
101899,0.55,0.8760519027709961,0.5294117647058824,0.3157894736842105,0.47058823529411764,154,0,19,0.3333333333333333,0.859637439250946,0.5306122448979592,0.2318840579710145,0.42857142857142855,257,0,42,0.02702702702702703,0.8493824005126953,0.34545454545454546,0.05405405405405406,0.3090909090909091,123,0,22,0.16,0.8849672079086304,0.35294117647058826,0.1891891891891892,0.3333333333333333,184,0,17,0.17391304347826086,0.8781095743179321,0.33962264150943394,0.11688311688311688,0.32075471698113206,201,0,16
11057,0.2692307692307692,0.8269381523132324,0.2571428571428571,0.07317073170731707,0.2571428571428571,72,0,10,0.2692307692307692,0.8269381523132324,0.2571428571428571,0.07317073170731707,0.2571428571428571,72,0,10,0.2692307692307692,0.8269381523132324,0.2571428571428571,0.07317073170731707,0.2571428571428571,72,0,10,0.28205128205128205,0.8433395624160767,0.2621359223300971,0.06944444444444445,0.2524271844660194,257,4,39,0.21052631578947367,0.8421640396118164,0.24752475247524752,0.09285714285714286,0.2376237623762376,257,5,38
