row_id,jaccard_0,bert_score_0,rouge_1s_0,rouge_2s_0,rouge_ls_0,num_token_0,num_mask_0,num_med_ents_0,jaccard_1,bert_score_1,rouge_1s_1,rouge_2s_1,rouge_ls_1,num_token_1,num_mask_1,num_med_ents_1,jaccard_2,bert_score_2,rouge_1s_2,rouge_2s_2,rouge_ls_2,num_token_2,num_mask_2,num_med_ents_2,jaccard_3,bert_score_3,rouge_1s_3,rouge_2s_3,rouge_ls_3,num_token_3,num_mask_3,num_med_ents_3,jaccard_4,bert_score_4,rouge_1s_4,rouge_2s_4,rouge_ls_4,num_token_4,num_mask_4,num_med_ents_4
109830,0.36,0.9231274127960205,0.5652173913043478,0.3723404255319149,0.5652173913043478,187,0,24,0.45454545454545453,0.9270346760749817,0.5970149253731343,0.3978494623655914,0.5970149253731343,194,0,25,0.32142857142857145,0.9185619950294495,0.4148936170212766,0.2578125,0.4148936170212766,255,0,31,0.45,0.9100661277770996,0.6071428571428571,0.35714285714285715,0.5892857142857143,134,0,16,0.5,0.895472526550293,0.3870967741935484,0.18518518518518517,0.3655913978494624,257,0,31
11402,0.5172413793103449,0.8876973390579224,0.6027397260273972,0.375,0.5753424657534246,172,0,22,0.34285714285714286,0.8871134519577026,0.4945054945054945,0.23333333333333334,0.46153846153846156,216,0,26,0.41379310344827586,0.8864709734916687,0.569620253164557,0.2980769230769231,0.5189873417721519,192,1,20,0.38461538461538464,0.8903857469558716,0.49019607843137253,0.2702702702702703,0.47058823529411764,257,1,31,0.3548387096774194,0.8866374492645264,0.5632183908045977,0.2903225806451613,0.5287356321839081,226,0,24
30840,0.46153846153846156,0.934991717338562,0.6410256410256411,0.4166666666666667,0.6153846153846154,206,0,26,0.17857142857142858,0.9054533243179321,0.5416666666666666,0.30927835051546393,0.5416666666666666,182,0,21,0.47619047619047616,0.9296380877494812,0.6617647058823529,0.4588235294117647,0.6617647058823529,156,0,16,0.2962962962962963,0.9130479693412781,0.5569620253164557,0.28431372549019607,0.5569620253164557,170,0,20,0.25925925925925924,0.9069997668266296,0.524390243902439,0.211864406779661,0.5121951219512195,202,0,22
14889,0.2926829268292683,0.8955885171890259,0.4270833333333333,0.19117647058823528,0.4270833333333333,257,0,38,0.3055555555555556,0.9100553393363953,0.5591397849462365,0.34234234234234234,0.5376344086021505,178,0,22,0.3,0.9112428426742554,0.4803921568627451,0.3235294117647059,0.4803921568627451,257,0,34,0.4166666666666667,0.915558397769928,0.5052631578947369,0.33884297520661155,0.5052631578947369,204,0,30,0.2777777777777778,0.9183814525604248,0.5641025641025641,0.3541666666666667,0.5512820512820513,167,0,25
131903,0.4827586206896552,0.9307717084884644,0.65,0.45544554455445546,0.6375,162,0,24,0.27906976744186046,0.9027550220489502,0.37168141592920356,0.1895424836601307,0.336283185840708,257,0,40,0.2619047619047619,0.8968493342399597,0.37623762376237624,0.19117647058823528,0.3564356435643564,242,0,37,0.3548387096774194,0.9220196008682251,0.5526315789473685,0.3181818181818182,0.5131578947368421,183,0,25,0.15789473684210525,0.9152643084526062,0.4842105263157895,0.22377622377622378,0.43157894736842106,257,1,30
104142,0.45161290322580644,0.9116916060447693,0.5595238095238095,0.3008130081300813,0.5476190476190477,220,0,24,0.5294117647058824,0.9303277134895325,0.5454545454545454,0.3333333333333333,0.5252525252525253,257,0,31,0.42424242424242425,0.928203284740448,0.6391752577319587,0.39705882352941174,0.6288659793814433,240,2,29,0.3783783783783784,0.9021098613739014,0.43820224719101125,0.2631578947368421,0.4157303370786517,224,0,29,0.42857142857142855,0.9035775661468506,0.49411764705882355,0.2845528455284553,0.47058823529411764,215,0,27
988,0.45454545454545453,0.9226477146148682,0.48598130841121495,0.25,0.4766355140186916,247,0,30,0.28205128205128205,0.9165840744972229,0.46601941747572817,0.2653061224489796,0.46601941747572817,244,0,35,0.2631578947368421,0.9089390635490417,0.4897959183673469,0.22695035460992907,0.45918367346938777,257,0,38,0.41935483870967744,0.9324687123298645,0.5208333333333334,0.296,0.5,219,0,23,0.2,0.9122209548950195,0.46601941747572817,0.2695035460992908,0.4368932038834951,255,0,38
34183,0.37037037037037035,0.9070819020271301,0.5666666666666667,0.3333333333333333,0.5666666666666667,124,0,21,0.3103448275862069,0.911123514175415,0.5373134328358209,0.3111111111111111,0.5074626865671642,142,0,24,0.22857142857142856,0.898170530796051,0.4842105263157895,0.2248062015503876,0.47368421052631576,229,0,40,0.32142857142857145,0.9242000579833984,0.4945054945054945,0.2932330827067669,0.4725274725274725,227,0,29,0.2727272727272727,0.9016690254211426,0.41414141414141414,0.20588235294117646,0.3939393939393939,241,0,35
56956,0.23809523809523808,0.9045337438583374,0.4691358024691358,0.1724137931034483,0.43209876543209874,184,0,18,0.18181818181818182,0.9052030444145203,0.5,0.1875,0.47435897435897434,185,1,16,0.22727272727272727,0.9076327681541443,0.4444444444444444,0.15789473684210525,0.3950617283950617,182,0,18,0.3333333333333333,0.9109472036361694,0.47619047619047616,0.18487394957983194,0.42857142857142855,190,0,19,0.38095238095238093,0.9157118797302246,0.5,0.19658119658119658,0.45121951219512196,188,0,18
119227,0.5263157894736842,0.9314205050468445,0.589041095890411,0.31958762886597936,0.5616438356164384,169,0,15,0.4782608695652174,0.9347777366638184,0.4583333333333333,0.23308270676691728,0.4375,225,0,24,0.375,0.9317117929458618,0.5180722891566265,0.27102803738317754,0.4578313253012048,193,0,20,0.5,0.9370965957641602,0.5476190476190477,0.3364485981308411,0.5357142857142857,190,0,17,0.45,0.9136018753051758,0.5432098765432098,0.30701754385964913,0.5185185185185185,208,0,22
